848,1670
848,1672
848,1674
849,1676
849,1678
849,1679
850,1683
856,1689
871,1700
898,1715
922,1728
948,1742
980,1760
1003,1778
1026,1793
1047,1801
1062,1805
1069,1805
1077,1804
1100,1804
1126,1799
1161,1794
1194,1792
1221,1775
1230,1742
1230,1717
1230,1692
1230,1656
1230,1635
1230,1602
1230,1559
1230,1546
1230,1533
1230,1531
1225,1522
1216,1504
1175,1488
1094,1458
1006,1417
939,1394
938,1390
939,1391
939,1390
939,1390
939,1390
939,1390
939,1390
939,1390
939,1390
940,1390
940,1390
940,1390
939,1390
939,1390
940,1390
940,1390
940,1390
939,1390
939,1390
939,1390
939,1390
939,1390
940,1390
940,1390
939,1390
940,1390
