1800,1800,1800,1506,900,900,1096,900
1786,1779,1794,1492,936,982,1041,922
1786,1774,1794,1478,937,1000,1041,942
1786,1772,1795,1469,939,1008,1041,954
1786,1770,1794,1465,958,1016,1042,964
1761,1765,1795,1457,969,1022,1041,979
1753,1753,1794,1440,972,1027,1041,1001
1742,1744,1794,1419,979,1041,1034,1022
1731,1737,1794,1403,993,1061,1034,1046
1727,1735,1794,1395,1002,1072,1034,1056
1722,1728,1794,1381,1013,1083,1034,1084
1705,1713,1794,1363,1020,1090,1034,1114
1694,1704,1794,1347,1034,1107,1035,1142
1680,1693,1794,1329,1045,1123,1033,1161
1674,1689,1794,1322,1050,1126,1033,1175
1667,1685,1794,1316,1051,1131,1033,1186
1653,1668,1793,1307,1051,1131,1032,1205
1637,1643,1740,1261,1064,1151,994,1205




